                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.059993,               0.035843,               0.014743,                      0,                0.66319,                0.50691,                0.54784,                0.22382,                0.70587,                0.60952,                0.64488,                0.34219,               0.045905,               0.024914,               0.011433,                      0,               0.067077,             0.00033256,             0.00033256
                      1,               0.046794,               0.032481,               0.012133,                      0,                 0.5927,                0.54942,                0.51893,                0.24032,                0.62238,                0.57386,                0.55586,                0.28675,               0.040341,               0.024597,              0.0089984,                      0,               0.034075,             0.00066369,             0.00066369
                      2,               0.042101,               0.030962,               0.011225,                      0,                0.68509,                0.56874,                0.59406,                0.28654,                0.72539,                 0.5983,                0.64585,                0.33449,               0.037898,               0.025009,              0.0090473,                      0,              0.0010703,             0.00099263,             0.00099263
                      3,               0.038567,               0.030543,               0.010952,                      0,                0.76826,                0.58834,                0.65801,                 0.3313,                0.80398,                0.61458,                0.69086,                0.35409,               0.034621,               0.023635,              0.0087847,                      0,              0.0009901,              0.0009901,              0.0009901
                      4,               0.035998,               0.030351,               0.010665,                      0,                0.74253,                0.58555,                0.65146,                  0.349,                0.75436,                 0.5983,                0.67163,                0.35436,               0.035443,               0.023783,              0.0086875,                      0,              0.0009901,              0.0009901,              0.0009901
                      5,                 0.0343,               0.029108,                0.01038,                      0,                0.57414,                0.59617,                0.54778,                0.29269,                0.60487,                0.61955,                0.56734,                0.29694,               0.034688,                0.02468,              0.0085961,                      0,              0.0009868,              0.0009868,              0.0009868
                      6,               0.033554,               0.029574,                0.01001,                      0,                0.78299,                0.66335,                0.71745,                0.41297,                0.79204,                0.68225,                0.72318,                 0.3963,               0.031856,               0.023338,              0.0084449,                      0,              0.0009835,              0.0009835,              0.0009835
                      7,               0.033481,               0.028791,                 0.0101,                      0,                0.79628,                0.64385,                0.71561,                0.40265,                0.82525,                0.65745,                0.74245,                0.39704,               0.032313,               0.023341,               0.007752,                      0,              0.0009802,              0.0009802,              0.0009802
                      8,               0.032551,               0.028914,              0.0099956,                      0,                0.75821,                0.61955,                0.69516,                0.39333,                0.76133,                 0.6525,                0.71262,                0.38087,               0.032809,               0.023161,              0.0095731,                      0,              0.0009769,              0.0009769,              0.0009769
                      9,               0.032171,               0.028744,              0.0099385,                      0,                0.77883,                0.65356,                0.73034,                0.41082,                0.78961,                0.66631,                0.74497,                0.41049,               0.031603,               0.022172,              0.0079548,                      0,              0.0009736,              0.0009736,              0.0009736
                     10,               0.030841,               0.027861,              0.0095917,                      0,                0.74792,                0.65569,                0.71157,                0.39447,                0.75377,                 0.6962,                0.73062,                0.39407,               0.030555,               0.023102,               0.007697,                      0,              0.0009703,              0.0009703,              0.0009703
                     11,               0.030878,               0.028245,              0.0095441,                      0,                0.81304,                0.66419,                0.75326,                0.43585,                0.82475,                0.67588,                0.75859,                0.42003,               0.030568,               0.022125,              0.0075412,                      0,               0.000967,               0.000967,               0.000967
                     12,               0.030103,               0.028045,              0.0095726,                      0,                0.72847,                0.66145,                0.71448,                0.43053,                0.74737,                0.68438,                0.73579,                0.42182,               0.030561,                0.02203,               0.007681,                      0,              0.0009637,              0.0009637,              0.0009637
                     13,               0.029808,               0.028188,              0.0095646,                      0,                0.74257,                0.66525,                0.70508,                0.40769,                0.79197,                0.67564,                0.73831,                0.41887,               0.031268,               0.022763,              0.0076963,                      0,              0.0009604,              0.0009604,              0.0009604
                     14,               0.030088,               0.027614,              0.0094672,                      0,                0.79995,                0.67906,                0.73424,                0.44655,                0.80963,                0.69075,                0.74364,                0.42448,               0.027776,               0.022257,              0.0073728,                      0,              0.0009571,              0.0009571,              0.0009571
                     15,               0.030318,               0.028106,              0.0095452,                      0,                0.80111,                0.64718,                0.72237,                0.40193,                0.81137,                0.66206,                0.74788,                0.39601,                0.02991,               0.022835,              0.0080686,                      0,              0.0009538,              0.0009538,              0.0009538
                     16,               0.029887,               0.028039,              0.0096086,                      0,                0.78248,                  0.678,                 0.7262,                0.43278,                0.80211,                0.69501,                0.74253,                0.41811,               0.029383,               0.021827,              0.0073556,                      0,              0.0009505,              0.0009505,              0.0009505
                     17,               0.029489,               0.028183,               0.009395,                      0,                0.77358,                0.66631,                0.74433,                0.46401,                0.80535,                 0.6815,                0.76327,                0.44563,               0.028052,               0.021883,              0.0071888,                      0,              0.0009472,              0.0009472,              0.0009472
                     18,               0.029272,                0.02731,              0.0093342,                      0,                0.78712,                0.68969,                0.76275,                0.48274,                0.80531,                0.70563,                0.77483,                 0.4488,               0.026161,               0.021859,              0.0071126,                      0,              0.0009439,              0.0009439,              0.0009439
                     19,               0.028529,                0.02725,              0.0092662,                      0,                0.74965,                0.69053,                0.73312,                0.46496,                0.77244,                0.70351,                0.75474,                0.44912,               0.028495,                0.02165,              0.0072445,                      0,              0.0009406,              0.0009406,              0.0009406
                     20,               0.028595,               0.027638,              0.0092622,                      0,                0.82196,                0.66419,                0.74914,                0.46914,                 0.8034,                0.70786,                0.76593,                0.44916,               0.027352,               0.021796,              0.0071788,                      0,              0.0009373,              0.0009373,              0.0009373
                     21,               0.028685,               0.027338,              0.0093259,                      0,                0.77451,                0.64931,                0.72577,                0.44504,                0.78444,                0.67163,                 0.7359,                0.40836,               0.028601,               0.023308,              0.0078046,                      0,               0.000934,               0.000934,               0.000934
                     22,               0.028337,               0.027432,              0.0090925,                      0,                0.74263,                0.65887,                0.72121,                0.44025,                0.77534,                0.68949,                0.75065,                0.43262,               0.028749,               0.021301,              0.0075062,                      0,              0.0009307,              0.0009307,              0.0009307
                     23,               0.028469,               0.027353,              0.0090686,                      0,                0.80927,                0.67694,                0.77439,                0.49453,                0.81323,                0.70457,                0.78633,                0.47669,                0.02719,               0.021618,              0.0071408,                      0,              0.0009274,              0.0009274,              0.0009274
                     24,               0.028009,               0.027232,              0.0090821,                      0,                0.77729,                0.69728,                0.74317,                0.47235,                 0.7949,                0.70457,                0.75786,                0.44141,               0.026258,               0.021668,              0.0071416,                      0,              0.0009241,              0.0009241,              0.0009241
                     25,               0.027228,                0.02729,              0.0090978,                      0,                0.78355,                0.67163,                0.76312,                0.46105,                 0.8182,                0.69394,                0.78876,                0.43302,               0.026476,               0.021847,               0.007375,                      0,              0.0009208,              0.0009208,              0.0009208
